ImageName,ImageText,Gender,View,Magnification,Location,Host,Species,ScientificName_accepted,ScientificName,Class,Order,Family,Genus,Species
aagri1.jpg,"100 im
© Peter Mullin/2000
Aglenchus agricola
juvenile 100X
Haughton Crater
In oasis",juvenile,body,100X,Haughton Crater In oasis,In oasis,Aglenchus agricola,Aglenchus,Aglenchus,Chromadorea,Rhabditida,Tylenchidae,Aglenchus,Aglenchus agricola
aagri2.jpg,"20m
Aglenchus agricola
juvenile anterior 400X
Tenses Crater
in oasis
© Peter Mullin/2000",juvenile,anterior,400X,Haughton Crater In oasis,in oasis,Aglenchus agricola,Aglenchus,Aglenchus,Chromadorea,Rhabditida,Tylenchidae,Aglenchus,Aglenchus agricola
aagri3.jpg,"20m
ee
Aglenchus agricola
[Met el seeks © Peter Mulin’2000
rie Crater
In oasis",juvenile,tail,400X,Haughton Crater In oasis,In oasis,Aglenchus agricola,Aglenchus,Aglenchus,Chromadorea,Rhabditida,Tylenchidae,Aglenchus,Aglenchus agricola
aagri4.jpg,"10m
Aglenchus agricola
juvenile head ~1000X%
Haughton Crater
In oasis
© Peter Mullin/2000",juvenile,head,1000X,Haughton Crater In oasis,In oasis,Aglenchus agricola,Aglenchus,Aglenchus,Chromadorea,Rhabditida,Tylenchidae,Aglenchus,Aglenchus agricola
aagri5.jpg,"Aglenchus a aie
Fa lateral field 1000X meee kibe0
Haughton Crater
In oasis",juvenile,lateral field,1000X,Haughton Crater In oasis,In oasis,Aglenchus a,Aglenchus,Aglenchus,Chromadorea,Rhabditida,Tylenchidae,Aglenchus,Aglenchus a
aagro1.jpg,"Anguina agrostis
juvenile 100X%
laboratory specimen
——
100 fm
“~
© Peter Mullin/2001",juvenile,body,100X,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina,Anguina agrostis
aagro10.jpg,"Anguina agrostis
Juvenile 40X
Laboratory specimen
—
100 im
© Peter Mullin/2001",juvenile,body,40X,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina,Anguina agrostis
aagro11.jpg,"egg: agrostis
le
juvenile anterior 200X
Laboratory specimen",juvenile,anterior,200X,Laboratory specimen,Laboratory specimen,,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina,
aagro12.jpg,"uina agrostis
awe head 400K
Laboratory specimen
© Peter Mullin/2001",juvenile,head,40,Laboratory specimen,Laboratory specimen,,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina,
aagro13.jpg,"Anguina agrostis
juvenile tail 400X
Laboratory specimen
20m
© Peter Mullin/2001",juvenile,tail,40,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina,Anguina agrostis
aagro14.jpg,"© Peter Mullin/2001
Pl
Tooum
Anguina agrostis
juvenile 40X
Laboratory specimen",juvenile,body,40,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina,Anguina agrostis
aagro15.jpg,"Anguina ne
juvenle anterior 400X
Laboratory specimen
© Peter Mullin/2001",juvenile,anterior,40,Laboratory specimen,Laboratory specimen,Anguina ne,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina,Anguina ne
aagro16.jpg,"Anguina agrostis
juvenile tail +00X
Laboratory specimen
© Peter Mullin72001
20m",juvenile,tail,40,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina,Anguina agrostis
aagro17.jpg,"Anguina agrostis
juvenile tail tip 1000X
Laboratory specimen
1pm
© Peter Mullin/2001",juvenile,tail tip,100,Laboratory specimen,Laboratory specimen,Anguina agrostis,Anguina,Anguina,Chromadorea,Rhabditida,Anguinidae,Anguina,Anguina agrostis
